FIRST_NAME,LAST_NAME,TEAMS
Harold,Halderson,"Detroit Cougars, Toronto St. Patricks"
Gizzy,Hart,"Detroit Cougars, Montréal Canadiens"
Clem,Loughlin,"Detroit Cougars, Chicago Blackhawks"
Russell,Oatman,"Detroit Cougars, Montreal Maroons, New York Rangers"
Johnny,Sheppard,"Detroit Cougars, New York Americans, Chicago Blackhawks, Boston Bruins"
Jack,Walker,Detroit Cougars
Herb,Stuart,Detroit Cougars
Art,Gagne,"Montréal Canadiens, Ottawa Senators (1917), Boston Bruins, Detroit Falcons"
Herb,Gardiner,"Montréal Canadiens, Chicago Blackhawks"
Art,Gauthier,Montréal Canadiens
Leo,Lafrance,"Montréal Canadiens, Chicago Blackhawks"
Amby,Moran,"Montréal Canadiens, Chicago Blackhawks"
Pete,Palangio,"Montréal Canadiens, Detroit Cougars, Chicago Blackhawks"
George,Hainsworth,"Montréal Canadiens, Toronto Maple Leafs"
Ace,Bailey,"Toronto St. Patricks, Toronto Maple Leafs"
Bill,Brydge,"Toronto St. Patricks, Detroit Cougars, New York Americans"
Bill,Carson,"Toronto St. Patricks, Toronto Maple Leafs, Boston Bruins"
Danny,Cox,"Toronto St. Patricks, Toronto Maple Leafs, Ottawa Senators (1917), Detroit Falcons, New York Rangers"
Lloyd,Gross,"Toronto St. Patricks, Detroit Red Wings, Boston Bruins, New York Americans"
Butch,Keeling,"Toronto St. Patricks, Toronto Maple Leafs, New York Rangers"
George,Patterson,"Toronto St. Patricks, Montréal Canadiens, Toronto Maple Leafs, New York Americans, Boston Bruins, Detroit Red Wings, St. Louis Eagles"
Al,Pudas,Toronto St. Patricks
Carl,Voss,"Toronto St. Patricks, Toronto Maple Leafs, Detroit Red Wings, New York Rangers, Ottawa Senators (1917), St. Louis Eagles, New York Americans, Montreal Maroons, Chicago Blackhawks"
Babe,Donnelly,Montreal Maroons
Red,Dutton,"Montreal Maroons, New York Americans"
Hap,Emms,"Montreal Maroons, New York Americans, Detroit Falcons, Detroit Red Wings, Boston Bruins"
Flat,Walsh,"Montreal Maroons, New York Americans"
Clarence,Boucher,New York Americans
Bob,Connors,"New York Americans, Detroit Cougars"
Normie,Himes,New York Americans
Laurie,Scott,"New York Americans, New York Rangers"
Cecil,Browne,Chicago Blackhawks
Ted,Graham,"Chicago Blackhawks, Detroit Red Wings, Montreal Maroons, St. Louis Eagles, Boston Bruins, New York Americans"
Val,Hoffinger,Chicago Blackhawks
Eddie,McCalmon,"Chicago Blackhawks, Philadelphia Quakers"
Earl,Miller,"Chicago Blackhawks, Toronto Maple Leafs"
Barney,Stanley,Chicago Blackhawks
Ralph,Taylor,"Chicago Blackhawks, New York Rangers"
Nick,Wasnie,"Chicago Blackhawks, Montréal Canadiens, New York Americans, Ottawa Senators (1917), St. Louis Eagles"
Cy,Wentworth,"Chicago Blackhawks, Montreal Maroons, Montréal Canadiens"
Charlie,Gardiner,Chicago Blackhawks
Frank,Callighen,New York Rangers
Alex,Gray,"New York Rangers, Toronto Maple Leafs"
Joe,Miller,"New York Rangers, New York Americans, Pittsburgh Pirates, Philadelphia Quakers"
Gene,Chouinard,Ottawa Senators (1917)
Sam,Godin,"Ottawa Senators (1917), Montréal Canadiens"
Len,Grosvenor,"Ottawa Senators (1917), New York Americans, Montréal Canadiens"
Al,Shields,"Ottawa Senators (1917), Philadelphia Quakers, New York Americans, Montreal Maroons, Boston Bruins"
Marty,Burke,"Pittsburgh Pirates, Montréal Canadiens, Ottawa Senators (1917), Chicago Blackhawks"
Dit,Clapper,Boston Bruins
Nobby,Clark,Boston Bruins
